store_name,date,category,amount,description
Cilantro Zamalek,2026-04-14,cogs,17200,Coffee beans and supplies
Cilantro Zamalek,2026-04-14,labor,14500,Staff wages
Cilantro Zamalek,2026-04-14,rent,3500,Monthly rent (daily portion)
Cilantro Zamalek,2026-04-14,utilities,800,Electricity and water
Cilantro Maadi,2026-04-14,cogs,13200,Coffee beans and supplies
Cilantro Maadi,2026-04-14,labor,12800,Staff wages
Cilantro Maadi,2026-04-14,rent,2800,Monthly rent (daily portion)
Cilantro Maadi,2026-04-14,utilities,650,Electricity and water
Cilantro Heliopolis,2026-04-14,cogs,20100,Coffee beans and supplies
Cilantro Heliopolis,2026-04-14,labor,17200,Staff wages
Cilantro Heliopolis,2026-04-14,rent,4200,Monthly rent (daily portion)
Cilantro Heliopolis,2026-04-14,utilities,950,Electricity and water
Cilantro New Cairo,2026-04-14,cogs,15800,Coffee beans and supplies
Cilantro New Cairo,2026-04-14,labor,13500,Staff wages
Cilantro New Cairo,2026-04-14,rent,3800,Monthly rent (daily portion)
Cilantro New Cairo,2026-04-14,utilities,750,Electricity and water
